verbatimRecordedByID	recordedByLastName	recordedBy	recordedByID
NEWMWHIT	Newman$Whitmore	Newman E.I. & Whitmore T.C.	""
GLOVGWYN1	Glover$Gwynne$Kibuwa$Tucker	Glover P.E., Gwynne M. D., Kibuwa S.P. & Tucker	""
HAYNR	Haynes	Haynes R.A.	""
AIZPI	Aizpuru	Aizpuru I.	""
GIRAX	Giráldez	Giráldez X.	""
B128	Beach	Beach K.H.	""
SMITP	Smith	Smith P.P.	""
SCHMLL	Schatz$Miller	Schatz G.E. & Miller J.S.	""
RASP1	Raspail	Raspail	""
MAURR	Mauri	Mauri R.	""
DBLO06	De Block$Stieperaere	De Block P. & Stieperaere H.	""
AHLBE	Ahles$Bell	Ahles Harry E. & Bell C. R.	""
W777	White$White	White H. & White C.	""
DODGALLE	Dodge$Allen	Dodge C.W. & Allen P.H.	""
DOUMF	Doumergue	Doumergue F.	""
HEDPET	Hedrén$Pettersson	Hedrén, M. & Pettersson, B.	""
M081	Morthehan	Morthehan	""
L044	Leclercq$Fabri	Leclercq L. & Fabri R.	""
TRIEELKH	Triest$El	Triest L. & El Khanagry S.	""
SCHIG1	Schimper	Schimper W.G.	https://viaf.org/viaf/13080700/
KAHUJ	Kahurananga	Kahurananga J.	""
BOEL1	Boel	Boel	""
JACCH1	Jaccoud	Jaccoud H.	""
R109	Royl	Royl	""
R110	Royl	Royl E.	""
D208	Dolezal$Suza	Dolezal R. & Suza J.	""
ANDRS	Anderson	Anderson A.	""
THUHUNTAD	Thulin$Hunde$Tadesse	Thulin M., Hunde A. & Tadesse M.	""
R099	Rathay	Rathay E.	""
V068	Vanholen	Vanholen B.	https://viaf.org/viaf/284753483/
DTCARV	Da Torre$Carvalho$Ladeira	da Torre A.R., Carvalho M. & Ladeira	""
R202	Rhenum	Rhenum	""
FREC	Frechkgs	Frechkgs	""
LATIDARA	Latilo$Daramola	Latilo M.G. & Daramola B.O.	""
W071	Waterkeyn	Waterkeyn L.	""
BARC	Barclay	Barclay C.	""
HKKHL	Heikkilä	Heikkilä H.	""
LYKAK	Lyka	Lyka K.	""
RITT1	Ritter	Ritter	""
LATT01	Lattanzi$Millozza	Lattanzi E. & Millozza A.	""
DBL	De Bullemont	De Bullemont L.	http://www.wikidata.org/entity/Q62990433
ETIEC	Etienne	Etienne C.	""
CHANR	Chancellor	Chancellor R.J.	""
MILLJ	Miller	Miller J.S.	""
LKFN	Lowele$Kisimba$Faucon	Lowele E., Kisimba F. & Faucon M.P.	""
BRHMF	Brahmi	Brahmi Fatiha	https://orcid.org/0000-0001-9332-4976
GRRDB	Groeninckx$Rakotonasolo$Dessein$De Block	Groeninckx I., Rakotonasolo, Dessein S.& De Block P.	""
DIDIE	Didier	Didier Eug.	""
DP12	De Ploem	De Ploem	""
MUELF	Von Mueller	Von Mueller F.	https://viaf.org/viaf/1364148947799954950007/
D045	Demange	Demange V.	https://www.ipni.org/ipni/idAuthorSearch.do?id=20002221-1
O794	Okamura	Okamura K.	""
LUXEF	Luxen	Luxen F.	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/49ffb5ca-247f-49b4-8ece-a1f0f36c588f
NICH2	Nicholson$Dixon	Nicholson W.E. & Dixon H.N.	""
E046	Elix	Elix J. A.	""
R791	Rusinska	Rusinska A.	""
NGUEM	Nguema Miyono	Nguema Miyono N.S.	""
MAL	Malaisse$Moulaert	Malaisse F. & Moulaert N.	""
MGNJF	Magni	Magni J.F.	""
K025	Kauffman	Kauffman L.	""
Z005	Zambettakis	Zambettakis	""
J035	Jorstad	Jorstad I.	""
PPDNS	Pongparadon	Pongparadon S.	""
CHARL	Charlier	Charlier L.	""
LEAC02	Leach$Giess	Leach L.C. & Giess W.	""
HAYWK	Hayward	Hayward Kenneth J.	""
JIRAF	Jirasek	Jirasek F.	""
ROUSROUL	Rousseau$Rouleau	Rousseau J. & Rouleau E.	""
LETOR	Letouzey	Letouzey R.	https://viaf.org/viaf/234433084/
DWTN	De Wit	De Wit N.	""
WAGNM	Wagner	Wagner M.F.	""
BARB12	Barbier	Barbier	""
BLLRL	Bolliger	Bolliger R.F.	""
SAVOC	Savory	Savory C.A.R.	""
V004	Vanderyst	Vanderyst H.	https://viaf.org/viaf/89445626/
CHTYCH	Ochoterena$Dessein$De Block$Taylor	Ochoterena H., Dessein S., De Block P. & Taylor C.M.	""
PWLJT	Powell	Powell J.T.	""
LEICF	Leichardt	Leichardt F.W.L.	""
SWGRZ	Schatz$van der Werff$Gray$Razafimandimbison	Schatz, G.E., van der Werff H., Gray B. & Razafimandimbison S.G.	""
DTM	de Tommasini	Tommasini M.G.S.	""
DCRAE	De Craene	De Craene E.	""
BODEMALA	Bodenghien$Malaisse	Bodenghien A. & Malaisse F.	""
C255	Cambridge Bot. Expedition	Cambridge Bot. Expedition	""
MWAN09	Mwangoka$Kidanka	Mwangoka M.A. & Kidanka J.	""
FORBC	Forbes	Forbes C.N.	https://www.ipni.org/ipni/idAuthorSearch.do?id=2811-1
BOOMA	Boomans	Boomans	""
MWAN10	Mwangoka$Sanga	Mwangoka M.A. & Sanga N.	""
BARBJ	Barbosa	Barbosa J.	""
REUSA	Reuss	Reuss A.	""
REVIJ	Revilla	Revilla Juan	""
ZUCC01	Zucconi$Millozza$Pavesi	L. Zucconi, Millozza A. & Pavesi A.	""
LAMB12	Lambinon$Champluvier$Renard	Lambinon J., Champluvier D. & Renard R.	""
J017	Tarr	Tarr S.A.J.	""
PAGA1	Pagacz	Pagacz	""
DWDEWI1	de Wilde$De Wilde-Duyfjes	de Wilde W.J.J.O. & De Wilde-Duyfjes B.E.E.	""
F632	Von Flotow	Flotow	https://viaf.org/viaf/67221822
MSUYT	Msuya	Msuya J.T.	""
JOHALAEG	Johansen$Laegaard$Hansen	Johansen Johs., Laegaard Simon & Hansen Kjeld	""
SABLG	Sablich	Sablich G.	""
HANRH	Hanry	Hanry Hippolyte	https://www.ipni.org/ipni/idAuthorSearch.do?id=3624-1
K005	Kuyper	Kuyper T.W.	""
KLBGS	Kolbach	Kolbach G.	""
RENVABDA	Renvoize$Abdallah	Renvoize S.A. & Abdallah R.A.	""
G687	Gobin	Gobin C.	""
GUIGL	Guiguet	Guiguet L.	""
GUIL12	Guillot	Guillot J.	""
MOTT2	Mottin	Mottin M.	""
REITJ	Reitmayer	Reitmayer J.	""
V253	Van Speybroek	Van Speybroek D.	""
MEIJW	Meijer	Meijer W.	""
SHISE	Shishira	Shishira E.	""
TOND1	Tondeur	Tondeur M.	""
W794	Wallis	Wallis G.	http://viaf.org/viaf/42607146
BING01	Bingham$Müller$Timberlake	Bingham M.G., Müller T. & Timberlake J.	""
COQUD	Coquoz	Coquoz Denis	""
PYEC	Pau Y Espanol	Pau Y Espanol C.	""
ASEG01	Aseginolaza$Uribe-Echebarría	Aseginolaza C. & Uribe-Echebarría P.	""
FAURU	Faurie	Faurie U.J.	https://viaf.org/viaf/254533593/
T751	Tilden	Tilden J.E.	""
AUBRA	Aubréville	Aubréville A.	https://viaf.org/viaf/853146998615518942784/
SCOTE	Scott	Scott E.M.	""
BOULH	Boulanger	Boulanger H.	""
KCHRP	Kuchar	Kuchar P.	""
PRILCO	Prance$Lleras$Coelho	Prance G.T., Lleras E. & Coelho D.F.	""
HT200	Huet$Tuezkiewicz	Huet A.L.P. & Tuezkiewicz D.	""
BHNGT	Beernaert$Haelterman$Nierynck$Van Geyt	Beernaert et Al.	""
MODHM	Modha	Modha M.	""
DELA1	Delacour	Delacour	""
K961	Kirschstein	Kirchstein W.	https://www.ipni.org/ipni/idAuthorSearch.do?id=21459-1
WNDLN	Wendland	Wendland	""
KOFFG	Koffi	Koffi G.	""
PRITG	Pritchard	Pritchard G.G.	""
JENNH	Jennison	Jennison H.M.	""
SCHUF	Schuhwerk	Schuhwerk F.	""
G008	Grinling	Grinling K.	https://www.ipni.org/ipni/idAuthorSearch.do?id=19646-1
J003	Jacobs	Jacobs	""
L061	Lewther	Lewther R.I.	""
M047	Minakata	Minakata	""
V053	Vandeven	Vandeven E.	""
RAWLS	Rawlins	Rawlins S.P.	""
ADAMT	Adamson	Adamson T.	""
SVENN	Svensson	Svensson Nikolaus	""
FISCHLEB	Fischer$Lebel	Fischer E. & Lebel	""
DMA	Des Méloizes	Des Méloizes Alb.	""
SCHWC	Schwacke	Schwacke C.	http://viaf.org/viaf/25385497
C072	Costescu	Costescu M.	""
SCHVL	Schatz$Villiers	Schatz G.E. & Villiers J.F.	""
DLJ	De Laet	De Laet J.	""
DLMLF	Powell$Farr	Powell D.A. & Farr M.L.	""
MCDOH	McDonald	McDonald H.	""
LADEO	Lademann	Lademann O.	""
GPLSDA	Lewis$De Andrade	Lewis G.P. & De Andrade S.M.M.	""
P964	Persson	Persson J.	""
POLDL	Poldini	Poldini L.	""
SZCZK	Szczepanek	Szczepanek K.	""
VAUP1	Vaupell	Vaupell	""
S178	Schnittler	Schnittler M.	https://www.ipni.org/ipni/idAuthorSearch.do?id=35535-1
BAFFI	Baffoe	Baffoe I.H.	""
THAREMER	Tharp$Emery	Tharp Benjamin Caroll & Emery Bill	""
PARK1	Parkinson	Parkinson	http://isni.org/isni/0000000080824632
TELFBUTL	Telford$Butler	Telford I.R. & Butler G.	""
L751	Liogier	Liogier A.H.	""
B085	Berger	Berger M.	""
BIDGCONGVOLL	Bidgood$Congdon$Vollesen	Bidgood S., Congdon T. & Vollesen K.	""
OHNMR	Ohenoja	Ohenoja M.	""
GALAJ	Galaty	Galaty J.	""
D094	Döbbeler$Remler	Döbbeler P. & Remler P.	""
D104	Duchassaing	Duchassaing E.P.	""
DARCW	D'Arcy	D'Arcy W.G.	""
DGA1	de Georgery	de Georgery A.	""
MARTJ	Martin	Martin J.	""
BERMM	Bermejo	Bermejo M.	""
VMJ	van der Meiren	van der Meiren J.	http://www.wikidata.org/entity/Q62990222
FDBDPT	Faden$Faden$Banda$Patel	Faden R.B., Faden A.J., Banda E.A.K. & Patel I.H.	""
LUPUSLON	Lupu$Slonovschi	Lupu I. & Slonovschi V.	""
RSSEA	Rossmässler	Rossmässler E.A.	""
A030	Albertson	Albertson L.I.	""
A029	Armando	Armando Lopez	""
R052	Rodgers	Rodgers W.P.	""
DELEH	Deleval	Deleval H.	""
LEDIF	Ledien	Ledien Fr.	""
DEYLMB	Deyl$Deylova	Deyl M.&. Deylova B.	""
JELE01	Jelenc	Jelenc F.	""
CINQL	Cinq-Mars	Cinq-Mars Lionel	""
DP14	Du Parquet	Du Parquet	""
LAMIJ	Lamic	Lamic J.	""
SCHLH1	Schlumberger	Schlumberger H.	""
T026	Tonduy	Tonduy	""
V069	Verelst	Verelst	""
V070	Vleugel	Vleugel J.	""
F021	Farr	Farr M.L.	https://viaf.org/viaf/110596334/
NYARP	Nyarady	Nyarady Pop	""
PAVE02	Pavesi$Zucconi	Pavesi A. & Zucconi L.	""
H091	Herter	Herter	""
H101	Husz	Husz B.	""
NELIL	Nelis	Nelis L.L.	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/ca530c9c-046f-44c1-9739-fa2245902d70
STUBH	Stubbings	Stubbings H.G.	""
DANGD	Dang	Dang D.	""
DRAP1	Draper	Draper I.	""
WKKJH	Wakker	Wakker J.H.	""
GREEE	Greene	Greene E.L.	""
LNDRS	Lunders	Lunders J.	""
W055	von Weindlmayr	von Weindlmayr J.	""
VERSJ	Verschuren	Verschuren J.	""
NCUBM	Ncube	Ncube M.	""
ZOBEH	Zobel	Zobel H.	""
BREN05	Brenan$Jones$Richards	Brenan J.P.M., Jones E.W. & Richards P.W.	""
N468	Nishihata	Nishihata K.	""
STARJ	Starck	Starck J.	""
H006	Hirano	Hirano W.	""
BROOR1	Brooks	Brooks R.R.	""
V500	Vandermeulen	Vandermeulen J.	""
AURLMB	Auquier$Lambinon	Auquier P. & Lambinon J.	""
H256	Hegewald$Hegewald	Hegewald P. & Hegewald E.	""
WHITC	Whitefoord	Whitefoord Caroline	""
LDCMG	Lado$Moreno	Lado C. & Moreno G.	""
H072	Howard	Howard D.L.	""
NAUMF	Naumann	Naumann F.C.	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/9c0d52ab-50bd-4b99-b2ca-25d682e678f1
CASPR	Caspary	Caspary	""
LEDED	Ledesma	Ledesma D.	""
B751	Birkenmajer	Birkenmajer K.	""
C002	Chifu	Chifu T.	""
DCORM	De Clerck$Rothman	De Clerck O. & Rothman M.	""
SOMOD	Somona	Somona D.	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/1c3f6ba2-d150-446d-aa66-1c90e4634ee0
NTUMNTUM	Ntumba$Ntumba	Ntumba & Ntumba	""
TRAEJ	Traets	Traets J.	""
WOERLY	Woerly	Woerly B.	""
ELSRK	Ramazani	Ramazani E.K.	""
BORGF	Börgesen	Börgesen F.	""
FOSCN	Foscolo	Foscolo N.	""
L116	Lévy	Lévy H.	""
SMITR	Smith	Smith R.J.	""
ZJHT	Zjhra$Hutcheon	Zjhra M.L. & Hutcheon J.	""
VERD01	Verdcourt$Darling	Verdcourt B. & Darling F.	""
HIESW	Hiesey	Hiesey William M.	""
TUNTB	Tuntas	Tuntas Basilios	""
B119	Bartholomew	Bartholomew E.	https://www.ipni.org/ipni/idAuthorSearch.do?id=15736-1
B120	Blasdale	Blasdale W.C.	https://www.ipni.org/ipni/idAuthorSearch.do?id=16207-1
VNL	Van Naemen	Van Naemen L.	""
JCBKPM	Koopman	Koopman Jacob	""
LNTPL	Lentz	Lentz P.L.	""
ANDEA	Andersson	Andersson A.	""
HGLVC	Hügel	Hügel K.A.A.	""
LGA	Le Grand	Le Grand A.	""
HOHNM	Höhn	Höhn M.	""
MEYEH	Meyer	Meyer H.	http://www.wikidata.org/entity/Q70875
SCAEH	Scaetta	Scaetta H.	https://viaf.org/viaf/199962471/
MGAZC	Mgaza	Mgaza C.D.	""
LEGALLOC	Legallo	Legallo C.	""
CODRK	Codrington	Codrington Kenneth de B.	""
HENDN	Henderson	Henderson N.C.	""
REGNA	Regnell	Regnell A.	https://viaf.org/viaf/35207175/
VERGL	Verguin	Verguin Louis	http://viaf.org/viaf/190912155
VOGET	Vogel	Vogel T.	""
LOGUJ	Logue	Logue J.F.	""
KENNKENN	Kennedy$Kennedy$Elmer	Kennedy H., Kennedy A. & Elmer	""
SERVB	Servin	Servin Benito	""
NKONB	Nkongmeneck	Nkongmeneck B.A.	http://www.ipni.org/ipni/idAuthorSearch.do?id=24119-1
WILSG	Wilson	Wilson G.J.	""
KRGPER	Krieger$Pereira	Krieger L. & Pereira R. M.	""
REEVR	Reeves	Reeves R.D.	""
BLAKS	Blake	Blake S.F.	""
VLE	von Lindemann	von Lindemann Eduard	""
LUGAR	Lugagne	Lugagne R.	""
HIERG	Hieronymus	Hieronymus G.	""
HCKAD	Hock	Hock A.	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/ebd09724-bda3-4f4c-aaa1-3c3db50aab5a
VANDJ	Vandam	Vandam J.	""
FLORJ	Floret	Floret J.J.	http://www.wikidata.org/entity/Q21513247
LATHC	Lathouwers	Lathouwers C.	http://www.wikidata.org/entity/Q62990212
W067	Wallays	Wallays A.C.F.	http://viaf.org/viaf/1355155042810672402150
M184	De Brouwer	De Brouwer M.	""
B033	Baral	Baral H.O.	""
NORRG	Norrgrann	Norrgrann Gunvor	""
PGM	Pomba Guerra	Pomba Guerra Maria Sofia	""
HIERNIED	Hieronymus$Niederlein	Hieronymus G. & Niederlein G.	""
FORRJ	Forrest	Forrest J.	""
D156	de Haan	de Haan M.	https://orcid.org/0000-0003-1868-1265
WARNB	Warnock	Warnock B.H.	""
BLGKV	Bulgakova	Bulgakova L.	""
LHNZ4	Luwiika$Harder$Nawa$Zimba	Luwiika B., Harder D.K., Nawa M.M. & Zimba N.B.	""
RALLL	Rallet	Rallet L.	""
D097	Diehl	Diehl W.W.	""
D107	De Marbaix	De Marbaix J.	https://www.ipni.org/ipni/idAuthorSearch.do?id=17821-1
P082	Pettera	Pettera A.	""
DELHDUHA	Delhaise$Duhaut	Delhaise C.G.F.F. & Duhaut	""
JUNIJEFF	Juniper$Jefford	Juniper B.E. & Jefford T.G.	""
KERE1	Keremera	Keremera	http://www.wikidata.org/entity/Q62990377
DELNENG	Delnatte$Engel	Delnatte C. & Engel J.	""
MRTNDKS	Morton$Dokosi	Morton J.K. & Dokosi	""
RHNJS	Rahantamalala	Rahantamalala J.	""
DANILIST	Danin$Liston	Danin A. & Liston A.	""
MORRA	Morrison	Morrison Alexander	https://www.ipni.org/ipni/idAuthorSearch.do?id=6679-1
SHARH	Sharsmith	Sharsmith H.K.	""
FBEY01	Figari-Bey	Figari-Bey	""
SCHWJ	Schwetz	Schwetz J.	""
DKP	De Kimpe	De Kimpe P.M.J.	""
DLG	De L'Isle	De L'Isle G.	""
K952	Karaila	Karaila I.	""
BJD	Breteler$Jongkind$Dibata	Breteler F.J., Jongkind C.C.H. & Dibata J.	""
P456	Poncelet	Poncelet G.	""
BHLVN	Bidgood$Hoenselaar$Leliyo$Vollesen	Bidgood S., Hoenselaar K., Leliyo G. & Vollesen K.	""
PUELT	Puel	Puel Timothée	""
SGLVV	Sagalaev	Sagalaev V.A.	""
FALKA	Falk	Falk A.	""
B168	Boerema	Boerema G.H.	https://www.ipni.org/ipni/idAuthorSearch.do?id=16261-1
CNOPN	Cnops	Cnops N.	""
AGARY	Agardh	Agardh Y.	""
VBHVN	Verbruggen$Van Nieuwenhuyze	Verbruggen H. & Van Nieuwenhuyze K.	""
HRDJHN	Hardy	Hardy J.	""
BIEGPOPE	Biegel$Pope$Russell	Biegel H.M., Pope G. & Russell E.	""
DEMAJ	Demarsin	Demarsin J.-P.	""
S990	Schemmann	Schemmann W.	""
S989	Sarrassat	C. Sarrassat	""
T089	Thor	G. Thor	""
TNDAD	Tonduz	Tonduz A.	https://viaf.org/viaf/306324690/
HEPBI	Hepburn	Hepburn I.D.	""
N012	Nattrass	Nattrass R.M.	""
G036	Gorensen	Gorensen P.	""
HALLN	Hallé	Hallé N.	https://viaf.org/viaf/56610955/
L987	Linhart	Linhart G.	""
WNSJN	Winstead	Winstead J.	""
RDRV	Randrianaivo	Randrianaivo R.	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/191df510-2a4a-4533-812b-995cf12d9564
CHNGR	Chénagon	Chénagon G.N.J.	""
M087	Machad	Machad	""
KERK1	Kerkvoorde	Kerkvoorde	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/8bb274f5-3c59-4029-8a32-2a92424f2672
BRUNL	Bruneau	Bruneau Louis	""
B858	Bradford	May Bradford	""
KEASAV	Keay$Savory	Keay R. & Savory H.J.	""
M510	Müller	Müller Th.	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/897dc2b2-f5fd-4ed3-9902-c6a281a715a7
PAINW	Painter	Painter W.H.	""
E011	Easthun	Easthun S.W.	""
B061	Balfour	Balfour J.B.	""
LINKK	Linkola	Linkola Kaarlo	""
B886	Remy	Remy Br.	""
R954	Raspé	Raspé O.	https://orcid.org/0000-0002-8426-2133
ROCKJ	Rock	Rock J.F.	http://viaf.org/viaf/42089497
RAABU	Raabe	Raabe U.	""
M060	Martens	Martens P.	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/76843b42-e1ad-4291-97d7-aa62d394bf83
M059	Marchal	Marchal É.	https://viaf.org/viaf/201270636/
S054	Seymour	Seymour A.	https://viaf.org/viaf/52221432/
LINDO	Lindner	Lindner O.	""
DNMAA	Doenmez	Doenmez A. A.	""
M201	Montserrat$Romo	Montserrat J. & Romo A.	""
VILL03	Villar$Montserrat	Villar L. & Montserrat G.	""
BARNW	Barnard	Barnard W.G.	""
SPICW	Spicer	Spicer W.W.	""
S234	Szewczyk	Szewczyk Marian	""
M010	Morse	Morse E.	""
M009	Morris	Morris B.	https://viaf.org/viaf/105418113/
ROELF	Roelandts	Roelandts F.	""
BALAM	Balansa	Balansa M.	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/1cb532e1-3a19-4d66-a8b7-0693d02b954b
GRNRD	Groeninckx$Rakotonasolo$De Block	Groeninckx I., Rakotonasolo F. & De Block P.	""
CHAUL	Chaubard	Chaubard L.A.	""
EADSM	Eadsforth	Eadsforth M.	""
GODFHODG	Godfrey$Hodge	Godfrey R.K. & Hodge W.H.	""
REUTC	Reuterman	Reuterman C.	""
G026	Green	Green L.M.	""
POLHROBE	Polhill$Robertson	Polhill R.M. & Robertson S.A.	""
ORTIMART	Ortiz$Martiniano	Ortiz Basileo & Martiniano A.	""
RMNKFR	Romero$Nakajima$Farinaccio	Romero R., Nakajima J. & Farinaccio M.A.	""
WARME	Warming	Warming J.E.B.	https://viaf.org/viaf/39438419/
R081	Rouppert	Rouppert K.	""
STOKT	Stokoe	Stokoe T.	""
BRUHF	Brühwiler	Brühwiler F.	""
AUGIERJ	Augier	Augier J.	""
ASCOE	Ascott	Ascott E.W.	""
MZIRW	Mziray	Mziray W.R.	""
B951	Beyens	Beyens L.	https://viaf.org/viaf/56862434/
L432	Lindberg	Lindberg Harald	""
CODYLOAN	Cody$Loan	Cody William J. & Loan C.C.	""
GUICK	Guichard	Guichard K.M.	""
TIEHNACH	Tiehm$Nachlinger	Tiehm Arnold & Nachlinger Jan	""
W018	Witley	Witley	""
C051	Cannon	Cannon P.	""
MCKIA	McKinnon	McKinnon A.S.	""
WYNAJ	Wynants	Wynants J.	""
DSJ1	Donnell Smith	Donnell Smith J.	https://www.ipni.org/ipni/idAuthorSearch.do?id=9806-1
SILVCORD	Silva$Cordeiro	Silva J.M. & Cordeiro J.	""
JEROH	Jeronimo	Jeronimo H.	""
BJARML	Bolton$Anderson$Mattio	Bolton J.J., Anderson R.J. & Mattio L.	""
EGGEJ	Egger	Egger J.T.	""
H603	Van Haezendonck	Van Haezendonck M.	""
L003	Lawsley	Lawsley	""
N045	Nannenga-Bremekamp$Lado$Moreno	Nannenga-Bremekamp N. , Lado C. & Moreno G.	""
FARRJ	Farrell	Farrell J.A.	""
RNVJ	Ranaivojaona	Ranaivojaona R.	""
LUNDA	Lundegren	Lundegren Alf	""
CLAIC	Claire	Claire Ch.	""
FOSBJAYA	Fosberg$Jayasuria	Fosberg Francis Raymond & Jayasuria M.	""
NTMAT	Ntemi Sallu$Athumani	Ntemi Sallu, A. & Athumani, A.	""
M135	Morley	Morley T.	""
LEBL1	Leblanc	Leblanc	""
DART1	Dartevelle	Dartevelle	""
ABEN1	Abena	Abena A.A.?	""
TYLCM	Taylor	Taylor C.M.	""
MARIC	Maries	Maries Charles	""
MBEAN	Beau$Angoboy$Mbungu$Mbambi	Beau N.B., Angoboy B.I., Mbungu C.P., & Mbambi L.N.	""
PAWLTACI	Pawlowski$Tacik	Pawlowski Bogumit & Tacik T.	""
LFBAL	Lefebvre	Lefebvre A.	""
DUBOR	Dubois	Dubois R.	""
A210	Dahir	Dahir A.	""
HLBR	Hillebrand	Hillebrand W.	""
NOEF	Noë	Noë F.W.	""
C034	Canim	Canim	""
MOLLH	Möller	Möller H.	""
BALMAR	Balsinhas$Marrime	Balsinhas A. & Marrine L.	""
LEEUANDRRAPA	Leeuwenberg$Andrianantoanina$Rapanarivo	Leeuwenberg A.J.M., Andrianantoanina O. & Rapanarivo S.	""
MAYO01	Mayombo$Nziengui$Mamadou$Boussengui	Mayombo J., Nziengui B., Mamadou E.M. & Boussengui J.	""
W159	Wager	Wager H.A.	https://www.ipni.org/ipni/idAuthorSearch.do?id=11300-1
REICL	Reichling	Reichling L.	http://isni.org/isni/0000000059579150
LEPRF	Leprieur	Leprieur F.R.	""
PHILLEPP1	Philcox$Leppard$Duri$Urayai	Philcox D., Leppard M.J., Duri S. & Urayai E.	""
VAUP2	Vaupel	Vaupel	""
KANAH	Kanai	Kanai H.	""
M250	Maire	Maire E.E.	""
PANTR	Pantling	Pantling R.	""
ZIMMC	Zimmermann	Zimmermann Carlos	""
R101	Rouget	Rouget	""
R091	Ravarut	Ravarut M.	""
H038	Halley	Halley B.	""
LANGH1	Lang	Lang H.	""
WOUTJ	Wouters	Wouters J.	""
LINDBERGG	Lindberg	Lindberg G.	https://viaf.org/viaf/74618397/
MALC02	Malcomber$Schatz	Malcomber S.T., Schatz G.E. et al.	""
POPE01	Pope$Biegel$Gosder	Pope G., Biegel H & Gosder N.	""
GODFR	Godfrey	Godfrey R.K.	""
FAIN1	Fain	Fain	""
BRIDLOVE	Bridson$Lovett	Bridson D. & Lovett J.	""
ROBE	Robert	Robert	""
SCHOH1	Schornbaum	Schornbaum H.	""
BERDA	Berdal	Berdal in Homblé	""
GHAZEVAN	Ghazanfar$Evangelista	Ghazanfar Shahina A. & Evangelista L.	""
IWANG	Iwanggin	Iwanggin Gerrit	""
REBRO	Rebristaja	Rebristaja O.	""
HELLA	Heller	Heller A.A.	https://www.ipni.org/ipni/idAuthorSearch.do?id=3806-1
P033	Palmans	Palmans R.	""
KESTA	Kesteleyn	Kesteleyn A.	""
JANSL	Janssens	Janssens L.	""
CHAR1	Charpentier	Charpentier	""
GUYO1	Guyot	Guyot	""
SFM01	Sefemani	Sefemani	""
R753	Rubers	W. V. Rubers	""
FERNH	Fernandez	Fernandez H.	""
ANDBV	Andrianaivoravelona	Andrianaivoravelona B.V.	""
D852	Dewez$Halin	Halin - Dewez	""
GROSR	Grosvenor	Grosvenor R.K.	""
ROKB1	Rokbeffer	Rokbeffer	""
YUNK	Yuncker	Yuncker T. G.	""
PERED	Pereira	Pereira E.	https://www.ipni.org/ipni/idAuthorSearch.do?id=7508-1
BRYSC	Bryson	Bryson C.T.	""
WILL11	Willkomm	Willkomm	""
VDWE02	Van der Werff$McPherson	Van der Werff H. & McPherson G.	""
BONT01	Bonte$Nitunga	Bonte E. & Nitunga A.	""
RBRMR	Roberge	Roberge M.R.	""
DEMOSMEE	Demoulin$Smeets	Demoulin V. & Smeets L.	""
HAGMFEIL	Hagman$Feilberg$Lagerström$Sanga	Hagman M., Feilberg L. & Lagerström T. & Sanga J.E.	""
RAMAAHUM	Ramamoorthy$Ahumada	Ramamoorthy T.P. & Ahumada O.	""
RAWITIKR	Rawi$Tikriti$Nuri	Rawi A., Tikriti & Nuri	""
M879	Mordue	Mordue J.E.M.	http://www.ipni.org/ipni/idAuthorSearch.do?id=23615-1
R042	Rossman	Rossman A.	""
H125	Hupke	Hupke H.	""
VHCLF	Verbruggen$Coppejans$Leliaert	Verbruggen H., Coppejans E. & Leliaert F.	""
BARBC	Barbier	Barbier C.	""
POPOVVED	Popov$Vvedensky	Popov M.G. & Vvedensky A.I.	""
JSSJP	Jessop	Jessop J.P.	""
HALLH1	Hall	Hall H.M.	""
REGEC	von Regel	Regel C.	""
NICHH	Nicholson	Nicholson H.B.	""
HECQC	Hecq	Hecq C.	""
HLLBWL	Hall$Bowling	Hall J.B. & Bowling	""
H224	Holmen	Holmen Kjeld	""
VIDAG	Vidal	Vidal G.P.	""
VDBJ	Van den Brande	Van den Brande J.F.	http://purl.oclc.org/net/edu.harvard.huh/guid/uuid/03760c22-c970-459d-a63e-ff28bfc7554f
S951	Szurak$Timko	Szurak J. & Timko G.	""
MOREI	Morel	Morel Ismael	""
WRIGW	Wright	Wright W.G.	""
T051	Tadeusz	Tadeusz Grochowski	""
O552	Osterwald	Osterwald K.	https://www.ipni.org/ipni/idAuthorSearch.do?id=24408-1
FAGEF	Fages	Fages F.	""
HANSK	Hansen	Hansen K.	""
TRKDN	Turk	Turk D.	""
ZETTWICK	Zetterstedt$Wickbom	Zetterstedt J.E. & Wickbom J.A.O.	""
M152	Mattei	Mattei G.E.	""
M118	Melamedaité	Melamedaité C.	""
BDWTH	Boudewijns	Boudewijns T.	""
ORCHE	Orchard	Orchard E.R.	""
FAIR	Fair	Fair C.B.	""
